name,description,category,price_range
Wireless Noise-Cancelling Headphones,Premium over-ear headphones with active noise cancellation for deep focus and immersive listening — perfect for someone who values quality sound and wants to disappear into music or podcasts during commutes and travel,tech,mid
True Wireless Earbuds,Compact wireless earbuds with long battery life and clear audio — ideal for active people who listen to music while running jogging or working out and hate tangled cables,tech,budget
Mechanical Keyboard,Satisfying tactile mechanical keyboard loved by programmers writers and anyone who spends hours at a desk and appreciates the craft of typing,tech,mid
Smart Watch,Feature-rich smartwatch that tracks fitness sleep and notifications — for the person who loves optimizing their health and staying connected without checking their phone constantly,tech,mid
Portable Bluetooth Speaker,Rugged waterproof portable speaker for outdoor adventures camping picnics and travel — for someone who brings music everywhere they go,tech,budget
E-Reader,Lightweight e-reader with warm backlight and weeks of battery — perfect for avid readers who devour books on commutes travels and quiet evenings and want their whole library in one device,tech,mid
Phone Gimbal Stabilizer,Smartphone gimbal for smooth cinematic video — perfect for creative travelers and content creators who love documenting their life and adventures in beautiful quality,tech,mid
Graphic Drawing Tablet,Digital drawing tablet for illustrators and designers who want to sketch paint and create art digitally — bridges traditional artistic instincts with modern creative tools,tech,mid
Portable Projector,Mini projector for movie nights at home or outdoors — for someone who loves creating cozy cinematic experiences and entertaining friends in unique ways,tech,splurge
Smart LED Desk Lamp,Adjustable smart desk lamp with color temperature control — for the person who cares about their workspace aesthetics and eye comfort during long creative or work sessions,tech,budget
Watercolor Paint Set,Professional-grade watercolor set with rich pigments and a wide color range — for the artist who loves loose expressive painting and capturing emotion through color and water,art,mid
Sketchbook Collection,Set of high-quality sketchbooks with smooth and textured pages — for the person who fills notebooks with drawings observations and ideas and carries a sketchbook everywhere,art,budget
Calligraphy Starter Kit,Beautiful calligraphy kit with ink nibs and practice sheets — for someone drawn to the meditative art of hand lettering who appreciates slow deliberate beautiful marks on paper,art,budget
Oil Painting Set,Complete oil painting kit with professional pigments brushes and canvas — for the serious artist who loves rich layered work and the slow meditative process of oil painting,art,mid
Lino Print Making Kit,Hands-on printmaking kit for carving and printing original designs — for the creative person who loves tactile art-making processes and producing one-of-a-kind pieces,art,budget
Artist Colored Pencil Set,Premium 72-color professional colored pencil set for detailed illustration and portrait work — for the patient precise artist who loves rich layered color and fine detail,art,mid
Fountain Pen Set,Elegant fountain pen collection for writers and journal keepers who believe the instrument matters and love the ritual of writing with a beautiful pen that glides across the page,art,budget
Poetry Journal with Prompts,Beautifully designed journal with creative writing prompts for poets and reflective writers who process the world through language and love the blank page,art,budget
Pottery and Clay Sculpting Kit,Air-dry clay kit for home sculpting and pottery — for the hands-on creative person who loves making functional or decorative objects and finds deep satisfaction in working with their hands,art,mid
Acrylic Paint Pouring Kit,Fluid art kit for creating mesmerizing abstract poured paintings — for the experimental artist who loves color psychology unpredictable results and satisfying visual outcomes,art,budget
Classic Literary Fiction Collection,Curated set of award-winning literary fiction novels exploring identity love loss and the human condition — for the deep thinker who sees reading as a way to understand themselves and others,books,budget
